date,annee,temp_max,temp_min,precipitation,humidite
2010-01-01,2010,28.5,19.3,0.0,69
2010-01-02,2010,28.4,21.0,0.9,71
2010-01-03,2010,26.7,19.2,5.0,79
2010-01-04,2010,25.7,20.5,1.7,83
2010-01-05,2010,26.6,19.0,0.6,77
2010-01-06,2010,24.4,19.5,3.0,80
2010-01-07,2010,24.5,18.1,0.0,78
2010-01-08,2010,26.7,18.2,0.0,73
2010-01-09,2010,28.3,19.1,0.0,69
2010-01-10,2010,27.2,18.6,0.1,74
2010-01-11,2010,23.1,18.8,11.1,87
2010-01-12,2010,23.5,18.2,0.0,82
2010-01-13,2010,24.3,18.7,1.3,82
2010-01-14,2010,25.8,17.4,0.0,78
2010-01-15,2010,27.5,17.0,0.0,78
2010-01-16,2010,28.7,16.9,0.0,76
2010-01-17,2010,29.1,18.7,0.0,73
2010-01-18,2010,29.8,17.2,0.0,63
2010-01-19,2010,28.4,18.9,0.0,74
2010-01-20,2010,28.7,19.8,0.0,74
2010-01-21,2010,29.9,19.1,0.0,67
2010-01-22,2010,30.4,20.6,0.0,57
2010-01-23,2010,29.1,18.1,0.0,64
2010-01-24,2010,28.9,17.3,0.0,66
2010-01-25,2010,30.0,18.4,0.0,65
2010-01-26,2010,29.3,19.6,0.0,68
2010-01-27,2010,29.4,19.9,0.0,71
2010-01-28,2010,29.2,16.6,0.0,70
2010-01-29,2010,29.1,17.3,0.0,64
2010-01-30,2010,29.1,19.9,0.0,59
2010-01-31,2010,29.5,19.9,0.0,55
2010-02-01,2010,29.4,19.6,0.0,58
2010-02-02,2010,30.0,20.6,0.0,57
2010-02-03,2010,31.1,21.4,0.0,59
2010-02-04,2010,29.8,18.1,0.0,68
2010-02-05,2010,30.5,19.9,0.0,69
2010-02-06,2010,30.3,21.5,0.0,67
2010-02-07,2010,29.9,20.7,0.0,63
2010-02-08,2010,29.3,20.2,0.0,64
2010-02-09,2010,31.5,18.5,0.0,66
2010-02-10,2010,30.8,20.4,0.0,65
2010-02-11,2010,30.1,20.2,0.0,69
2010-02-12,2010,30.7,20.0,0.0,68
2010-02-13,2010,29.8,19.8,0.0,64
2010-02-14,2010,29.0,20.4,0.0,62
2010-02-15,2010,29.6,20.4,0.0,69
2010-02-16,2010,30.6,22.2,0.1,65
2010-02-17,2010,29.0,19.9,1.2,72
2010-02-18,2010,24.5,19.5,3.3,80
2010-02-19,2010,27.4,18.1,0.0,69
2010-02-20,2010,29.2,19.8,0.0,67
2010-02-21,2010,29.1,19.4,0.3,73
2010-02-22,2010,30.4,19.4,0.2,69
2010-02-23,2010,31.7,21.9,0.0,63
2010-02-24,2010,31.5,21.2,0.1,63
2010-02-25,2010,31.0,21.9,0.4,72
2010-02-26,2010,26.3,20.5,0.1,74
2010-02-27,2010,29.7,20.8,0.2,69
2010-02-28,2010,27.6,21.0,1.1,76
2010-03-01,2010,27.5,21.4,0.0,74
2010-03-02,2010,32.0,20.1,0.0,66
2010-03-03,2010,31.1,20.9,0.0,67
2010-03-04,2010,27.7,21.0,0.6,74
2010-03-05,2010,23.9,19.4,1.5,80
2010-03-06,2010,22.7,18.0,0.2,76
2010-03-07,2010,24.7,14.9,0.0,66
2010-03-08,2010,26.3,13.5,0.0,63
2010-03-09,2010,27.8,13.7,0.0,59
2010-03-10,2010,30.3,16.4,0.0,62
2010-03-11,2010,31.9,19.0,0.0,63
2010-03-12,2010,32.8,22.5,0.0,60
2010-03-13,2010,32.7,22.3,0.0,61
2010-03-14,2010,31.5,22.4,0.0,66
2010-03-15,2010,32.2,22.6,0.0,64
2010-03-16,2010,30.3,22.2,0.1,69
2010-03-17,2010,29.2,19.4,0.6,73
2010-03-18,2010,30.2,21.4,1.4,70
2010-03-19,2010,28.6,22.3,0.3,71
2010-03-20,2010,30.7,20.5,0.0,70
2010-03-21,2010,33.4,21.5,0.0,58
2010-03-22,2010,32.5,20.7,0.0,55
2010-03-23,2010,33.3,22.0,0.0,60
2010-03-24,2010,32.0,20.6,0.0,68
2010-03-25,2010,32.5,22.0,0.0,64
2010-03-26,2010,32.4,21.3,0.9,68
2010-03-27,2010,31.5,22.7,0.2,69
2010-03-28,2010,30.4,20.9,0.2,68
2010-03-29,2010,33.1,22.1,0.0,60
2010-03-30,2010,32.3,22.8,0.0,59
2010-03-31,2010,31.3,22.1,1.7,68
